Year,Total_Cost_USD,NPV_Cost_USD,Energy_Cost_USD,PM_Asset_USD,PM_Modules_USD,CM_USD,Repl_Chassis_CapEx_USD,Repl_Modules_CapEx_USD,Units_Replaced,PM_Total_USD,Repl_Total_CapEx_USD,Run_ID
2034,312122139.6593418,194950567.53984198,120335157.02901743,115874335.34164481,2098500.0,2167900.0,70686247.28867958,960000.0,1279,117972835.34164481,71646247.28867958,0
2035,313541384.4618712,188304830.43859008,118852993.6737493,111375759.2163622,2106600.0,2328600.0,77117431.57175972,1760000.0,1332,113482359.2163622,78877431.57175972,0
2036,297129925.0337939,171585128.06772712,117385740.38179839,105411064.57921498,2125600.0,2272600.0,68654920.07278058,1280000.0,1331,107536664.57921498,69934920.07278058,0
2037,307440811.0631469,170710969.06874418,118883511.33831316,111167428.38509938,2125600.0,2202700.0,72101571.33973438,960000.0,1288,113293028.38509938,73061571.33973438,0
2038,317772241.1959398,169661197.58052528,120258789.99926603,116538869.64652328,2125600.0,2367000.0,75201981.55015045,1280000.0,1317,118664469.64652328,76481981.55015045,0
2039,309580673.8296017,158930435.37688085,118109466.46517532,110864174.94103095,2142700.0,2332300.0,74852032.42339545,1280000.0,1358,113006874.94103095,76132032.42339545,0
2022,289278824.1276907,289278824.1276907,116795954.59604685,100036606.13829677,1981300.0,1981700.0,67523263.39334705,960000.0,1224,102017906.13829677,68483263.39334705,1
2023,287578669.17135257,276517951.1263006,117250112.50521618,100760255.5898726,1981300.0,2168600.0,64298401.0762638,1120000.0,1274,102741555.5898726,65418401.0762638,1
2024,300262204.6108126,277609286.8073341,117772044.42101403,104998571.13316874,1997500.0,2165500.0,71888589.05662985,1440000.0,1365,106996071.13316874,73328589.05662985,1
2025,305801807.8626806,271856693.66490585,118100495.23047073,110495180.24458152,2006500.0,2238000.0,71681632.38762838,1280000.0,1360,112501680.24458152,72961632.38762838,1
2026,296771576.43702734,253681587.31686956,117227368.41782883,101545702.11072159,2006500.0,2279900.0,72752105.90847693,960000.0,1323,103552202.11072159,73712105.90847693,1
2027,302540456.8779024,248666202.39930668,119890562.12684132,105676111.65872644,2006500.0,2224000.0,71943283.0923346,800000.0,1310,107682611.65872644,72743283.0923346,1
2028,298523408.43137485,235927385.95378858,116173847.78892864,106994103.01057881,2025500.0,2205300.0,70004657.63186738,1120000.0,1344,109019603.01057881,71124657.63186738,1
2029,296941152.78832966,225650871.47660726,115703048.07302278,98625760.86297613,2060600.0,2325900.0,77105843.85233074,1120000.0,1334,100686360.86297613,78225843.85233074,1
